"","Station","Pollutant","Period","Month","Ndays","Median","Pval","Pval_old"
"282","Burlington","NO2","2020","June",22,8.0625,0.494,0.4893
"283","Burlington","NO2","2020","July",23,6.10416666666667,3e-04,NA
"284","Burlington","NO2","2020","August",21,7.375,0.0316,NA
"285","Burlington","NO2","2020","September",22,8.15833333333333,0.2405,NA
"286","Burlington","NO2","2020","October",22,8.91041666666667,0.1451,NA
"287","Burlington","NO2","2020","November",21,10.6666666666667,0.3169,NA
"288","Burlington","NO2","2020","December",23,10.3916666666667,0.2143,NA
"289","Brampton","O3","2017-2019","January",68,24.25,0.1951,0.2198
"290","Brampton","O3","2017-2019","February",60,29.0416666666667,0.925,0.9264
"291","Brampton","O3","2017-2019","March",66,33.9356884057971,0.7725,0.7899
"292","Brampton","O3","2017-2019","April",63,32.9166666666667,0.2868,0.3148
"293","Brampton","O3","2017-2019","May",69,31.4285714285714,0.0011,9e-04
"294","Brampton","O3","2017-2019","June",63,30.4583333333333,0.1157,0.1004
"295","Brampton","O3","2017-2019","July",66,31.3958333333333,0.0442,NA
"296","Brampton","O3","2017-2019","August",68,29.8201754385965,0.7022,NA
"297","Brampton","O3","2017-2019","September",62,22.3333333333333,0.7466,NA
"298","Brampton","O3","2017-2019","October",68,20.3541666666667,0.1033,NA
"299","Brampton","O3","2017-2019","November",65,19.9583333333333,0.2092,NA
"300","Brampton","O3","2017-2019","December",64,20.0625,0.3703,NA
"301","Brampton","O3","2020","January",23,20.5416666666667,0.1376,0.1307
"302","Brampton","O3","2020","February",20,32.5833333333333,0.0978,0.1035
"303","Brampton","O3","2020","March",22,27.7291666666667,0.0053,0.006
"304","Brampton","O3","2020","April",22,35.9375,0.0315,0.03
"305","Brampton","O3","2020","May",21,34.7083333333333,0.2197,0.2285
"306","Brampton","O3","2020","June",22,35.4375,0.0067,0.0139
"307","Brampton","O3","2020","July",23,29.2083333333333,0.4109,NA
"308","Brampton","O3","2020","August",21,26.0869565217391,0.2301,NA
"309","Brampton","O3","2020","September",22,22.9791666666667,0.7284,NA
"310","Brampton","O3","2020","October",22,20.4375,0.9605,NA
"311","Brampton","O3","2020","November",21,21.8695652173913,0.3491,NA
"312","Brampton","O3","2020","December",23,22.4166666666667,0.3785,NA
"313","Brampton","PM25","2017-2019","January",68,6.52083333333333,0.8266,0.8239
"314","Brampton","PM25","2017-2019","February",60,6.875,0.8852,0.8919
"315","Brampton","PM25","2017-2019","March",66,5.20833333333333,0.0355,0.0211
"316","Brampton","PM25","2017-2019","April",63,5.41666666666667,0.8841,0.8683
"317","Brampton","PM25","2017-2019","May",69,5.79166666666667,0.0253,0.0158
"318","Brampton","PM25","2017-2019","June",63,5.625,0.7382,0.7871
"319","Brampton","PM25","2017-2019","July",66,6.875,0.4757,NA
"320","Brampton","PM25","2017-2019","August",68,6.52083333333333,0.0227,NA
"321","Brampton","PM25","2017-2019","September",62,5.85416666666667,0,NA
"322","Brampton","PM25","2017-2019","October",68,5.25,0.8494,NA
"323","Brampton","PM25","2017-2019","November",65,6.04166666666667,0.7129,NA
"324","Brampton","PM25","2017-2019","December",64,7.025,0.4497,NA
"325","Brampton","PM25","2020","January",23,6.04166666666667,0.6025,0.6015
"326","Brampton","PM25","2020","February",20,4.54166666666667,0.0482,0.0466
"327","Brampton","PM25","2020","March",22,6.5,0.2091,0.2091
"328","Brampton","PM25","2020","April",22,4.3125,0.3316,0.3194
"329","Brampton","PM25","2020","May",21,4.83333333333333,0.2999,0.2988
"330","Brampton","PM25","2020","June",22,7.02083333333333,0.1587,0.1539
"331","Brampton","PM25","2020","July",23,5.70833333333333,0.1293,NA
"332","Brampton","PM25","2020","August",21,5.66666666666667,0.4878,NA
"333","Brampton","PM25","2020","September",22,5.20833333333333,0.3028,NA
"334","Brampton","PM25","2020","October",22,4.72916666666667,0.4554,NA
"335","Brampton","PM25","2020","November",21,7.75,0.1899,NA
"336","Brampton","PM25","2020","December",23,6.04166666666667,0.4175,NA
"337","Brampton","NO2","2017-2019","January",68,10.525,0.8231,0.8087
"338","Brampton","NO2","2017-2019","February",60,10.4354166666667,0.3169,0.362
"339","Brampton","NO2","2017-2019","March",66,7.69447463768116,0.8163,0.8499
"340","Brampton","NO2","2017-2019","April",63,8.83913043478261,0.7872,0.7729
"341","Brampton","NO2","2017-2019","May",69,6.87916666666667,0.8403,0.8478
"342","Brampton","NO2","2017-2019","June",63,5.32916666666667,0.3673,0.3785
"343","Brampton","NO2","2017-2019","July",66,4.76875,0.8038,NA
"344","Brampton","NO2","2017-2019","August",68,4.59791666666667,0.1887,NA
"345","Brampton","NO2","2017-2019","September",62,7.83958333333333,0.4537,NA
"346","Brampton","NO2","2017-2019","October",68,8.11041666666667,0.9328,NA
"347","Brampton","NO2","2017-2019","November",65,10,0.8923,NA
"348","Brampton","NO2","2017-2019","December",64,10.1020833333333,0.9531,NA
"349","Brampton","NO2","2020","January",23,10.2791666666667,0.8836,0.8946
"350","Brampton","NO2","2020","February",20,6.93333333333333,0.0819,0.0735
"351","Brampton","NO2","2020","March",22,8.88333333333333,0.5235,0.5134
"352","Brampton","NO2","2020","April",22,5.63867753623188,0.0596,0.0198
"353","Brampton","NO2","2020","May",21,5.175,0.2268,0.0379
